"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"6";"circle fronts";"1000";"my";"0,004164";"109894"
"6";"circle fronts";"1000";"ENLU";"0,05842";"480165"
"6";"circle fronts";"1000";"NSGA2";"0,022755";"999000"
"6";"stripe";"1000";"my";"0,003833";"89031"
"6";"stripe";"1000";"ENLU";"0,043958";"243932"
"6";"stripe";"1000";"NSGA2";"0,022303";"999000"
"6";"diag";"1000";"my";"0,000354";"16973"
"6";"diag";"1000";"ENLU";"0,000812";"999"
"6";"diag";"1000";"NSGA2";"0,01669";"999000"
"7";"square";"1000";"my";"0,002301";"54370"
"7";"square";"1000";"ENLU";"0,01031";"179600"
"7";"square";"1000";"NSGA2";"0,022353";"999000"
"7";"parallel fronts";"1000";"my";"0,001123";"34147"
"7";"parallel fronts";"1000";"ENLU";"0,001706";"71989"
"7";"parallel fronts";"1000";"NSGA2";"0,019297";"999000"
"7";"circle fronts";"1000";"my";"0,004465";"114672"
"7";"circle fronts";"1000";"ENLU";"0,060322";"482734"
"7";"circle fronts";"1000";"NSGA2";"0,022566";"999000"
"7";"stripe";"1000";"my";"0,003918";"85681"
"7";"stripe";"1000";"ENLU";"0,036239";"238447"
"7";"stripe";"1000";"NSGA2";"0,021643";"999000"
"7";"diag";"1000";"my";"0,000428";"16973"
"7";"diag";"1000";"ENLU";"0,000743";"999"
"7";"diag";"1000";"NSGA2";"0,01678";"999000"
"8";"square";"1000";"my";"0,002122";"56122"
"8";"square";"1000";"ENLU";"0,011505";"193019"
"8";"square";"1000";"NSGA2";"0,023008";"999000"
"8";"parallel fronts";"1000";"my";"0,001133";"34553"
"8";"parallel fronts";"1000";"ENLU";"0,001657";"72807"
"8";"parallel fronts";"1000";"NSGA2";"0,017792";"999000"
"8";"circle fronts";"1000";"my";"0,004549";"109452"
"8";"circle fronts";"1000";"ENLU";"0,063887";"512544"
"8";"circle fronts";"1000";"NSGA2";"0,022745";"999000"
"8";"stripe";"1000";"my";"0,003071";"78171"
"8";"stripe";"1000";"ENLU";"0,032997";"228922"
"8";"stripe";"1000";"NSGA2";"0,021846";"999000"
"8";"diag";"1000";"my";"0,000375";"16973"
"8";"diag";"1000";"ENLU";"0,001438";"999"
"8";"diag";"1000";"NSGA2";"0,017798";"999000"
"9";"square";"1000";"my";"0,002037";"56978"
"9";"square";"1000";"ENLU";"0,01122";"199932"
"9";"square";"1000";"NSGA2";"0,02196";"999000"
"9";"parallel fronts";"1000";"my";"0,001052";"34128"
"9";"parallel fronts";"1000";"ENLU";"0,001755";"73651"
"9";"parallel fronts";"1000";"NSGA2";"0,019713";"999000"
"9";"circle fronts";"1000";"my";"0,004097";"101902"
"9";"circle fronts";"1000";"ENLU";"0,051752";"418400"
"9";"circle fronts";"1000";"NSGA2";"0,022772";"999000"
"9";"stripe";"1000";"my";"0,003048";"81083"
"9";"stripe";"1000";"ENLU";"0,033756";"232884"
"9";"stripe";"1000";"NSGA2";"0,021591";"999000"
"9";"diag";"1000";"my";"0,000361";"16973"
"9";"diag";"1000";"ENLU";"0,000397";"999"
